vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score,timestamp_iso,temp_c,rain_mm,battery_health,trips_last_24h,avg_trip_km,last_trip_km,last_trip_min,minutes_to_empty
VRY-1003-1021,Viry-Chatillon,48.674239,2.371258,0.245,6,4,1.0,2025-10-03T06:00,15.0,0.32,0.916,1,2.27,1.65,7.9,96.4
VLP-1003-1022,Villepinte,48.969759,2.56881,0.1,8,4,1.74,2025-10-03T08:00,20.1,0.35,0.863,8,2.23,3.02,12.8,5.0
MAL-1003-1023,Malakoff,48.812828,2.304177,0.635,20,4,1.522,2025-10-03T20:00,19.5,2.66,0.914,5,2.9,3.23,9.7,207.5
VRY-1003-1024,Viry-Chatillon,48.671852,2.379626,0.262,6,4,1.0,2025-10-03T06:00,18.6,2.87,0.885,3,1.38,1.05,12.8,118.8
BOB-1003-1025,Bobigny,48.905803,2.456111,0.672,16,4,1.15,2025-10-03T16:00,21.7,0.67,0.978,2,3.06,3.27,12.2,300.4
VLP-1003-1026,Villepinte,48.969378,2.536821,0.601,16,4,1.2,2025-10-03T16:00,18.9,0.61,0.984,5,2.41,0.5,12.6,266.8
MAL-1003-1027,Malakoff,48.814496,2.319313,0.95,13,4,1.05,2025-10-03T13:00,19.2,2.81,0.957,2,1.66,0.73,13.8,479.3
VLP-1003-1028,Villepinte,48.972113,2.519655,0.383,9,4,1.74,2025-10-03T09:00,19.1,1.82,0.869,4,2.23,2.22,17.1,115.3
RSB-1003-1029,Roissy-en-Brie,48.806394,2.641091,0.894,6,4,1.1,2025-10-03T06:00,16.6,0.0,0.922,2,1.35,1.66,10.2,433.7
BOB-1003-1030,Bobigny,48.921175,2.449975,0.5,17,4,1.667,2025-10-03T17:00,19.4,2.02,0.917,4,1.94,0.97,19.2,183.8
VLP-1003-1031,Villepinte,48.95693,2.559361,0.613,20,4,1.74,2025-10-03T20:00,16.5,1.29,0.908,4,3.14,2.88,13.6,193.4
VLP-1003-1032,Villepinte,48.976268,2.544194,0.536,8,4,1.74,2025-10-03T08:00,13.7,2.88,0.932,4,4.12,3.66,11.1,130.9
MAL-1003-1033,Malakoff,48.827521,2.279941,0.326,14,4,1.05,2025-10-03T14:00,22.8,0.17,0.955,4,1.53,1.15,7.5,162.4
VRY-1003-1034,Viry-Chatillon,48.666921,2.385003,0.536,6,4,1.0,2025-10-03T06:00,19.7,0.0,0.977,3,0.51,0.45,13.9,267.2
RSB-1003-1035,Roissy-en-Brie,48.789496,2.642335,0.1,14,4,1.1,2025-10-03T14:00,12.2,0.0,0.897,1,1.99,2.28,15.0,52.9
RSB-1003-1036,Roissy-en-Brie,48.795128,2.639254,0.113,9,4,1.595,2025-10-03T09:00,17.5,0.0,0.876,5,2.13,1.7,15.1,55.8
VRY-1003-1037,Viry-Chatillon,48.65413,2.381037,0.683,16,4,1.0,2025-10-03T16:00,17.4,1.59,0.86,5,1.43,1.74,13.5,361.0
VLP-1003-1038,Villepinte,48.979582,2.528431,0.424,19,4,1.74,2025-10-03T19:00,18.3,0.0,0.873,2,3.41,3.6,14.2,103.9
VLP-1003-1039,Villepinte,48.955702,2.559938,0.712,14,4,1.2,2025-10-03T14:00,14.5,1.17,0.892,3,1.86,1.03,9.8,295.9
BOB-1003-1040,Bobigny,48.901895,2.426482,0.628,22,4,1.15,2025-10-03T22:00,23.3,1.98,0.912,1,1.18,1.03,13.0,273.1
VRY-1003-1041,Viry-Chatillon,48.663859,2.379666,0.622,18,4,1.45,2025-10-03T18:00,16.4,0.11,0.929,5,1.9,1.97,18.8,241.8
VLP-1003-1042,Villepinte,48.980447,2.52354,0.564,9,4,1.74,2025-10-03T09:00,20.7,0.14,0.918,2,1.86,1.86,14.8,172.7
VRY-1003-1043,Viry-Chatillon,48.674246,2.385971,0.47,11,4,1.0,2025-10-03T11:00,14.8,0.0,0.986,2,2.06,3.44,3.0,240.0
MAL-1003-1044,Malakoff,48.836693,2.297791,0.533,22,4,1.05,2025-10-03T22:00,19.3,0.44,0.869,1,1.53,0.32,9.7,246.8
RSB-1003-1045,Roissy-en-Brie,48.803605,2.654771,0.442,11,4,1.1,2025-10-03T11:00,12.8,0.0,0.925,4,2.47,1.82,13.6,207.5
MAL-1003-1046,Malakoff,48.813937,2.305358,0.339,10,4,1.05,2025-10-03T10:00,19.1,0.94,0.966,1,2.64,2.08,14.0,142.1
VRY-1003-1047,Viry-Chatillon,48.660159,2.369774,0.362,8,4,1.45,2025-10-03T08:00,21.9,1.44,0.92,9,1.67,2.04,16.7,142.2
VLP-1003-1048,Villepinte,48.967457,2.560862,0.601,8,4,1.74,2025-10-03T08:00,12.6,0.62,0.867,8,3.47,3.21,16.9,195.7
RSB-1003-1049,Roissy-en-Brie,48.787624,2.649028,0.419,17,4,1.595,2025-10-03T17:00,21.8,1.14,0.937,1,2.73,3.32,16.8,112.1
MAL-1003-1050,Malakoff,48.818306,2.305513,0.429,8,4,1.522,2025-10-03T08:00,18.3,1.3,0.881,6,2.58,2.93,14.0,107.3
RSB-1003-1051,Roissy-en-Brie,48.785187,2.660849,0.245,20,4,1.595,2025-10-03T20:00,19.9,0.09,0.9,2,2.47,2.66,12.0,52.8
VLP-1003-1052,Villepinte,48.966288,2.567835,0.475,20,4,1.74,2025-10-03T20:00,19.8,0.0,0.875,8,3.54,4.01,16.2,131.4
MAL-1003-1053,Malakoff,48.806176,2.295616,0.222,10,4,1.05,2025-10-03T10:00,16.4,0.0,0.97,4,1.66,1.19,12.4,88.1
RSB-1003-1054,Roissy-en-Brie,48.789459,2.663428,0.524,16,4,1.1,2025-10-03T16:00,20.4,0.0,0.886,5,2.85,3.27,9.1,223.9
VLP-1003-1055,Villepinte,48.967322,2.53778,0.618,19,4,1.74,2025-10-03T19:00,17.4,1.37,0.998,6,3.67,3.93,11.1,188.7
BOB-1003-1056,Bobigny,48.894403,2.454381,0.522,15,4,1.15,2025-10-03T15:00,11.8,0.0,0.976,3,1.92,1.85,7.7,251.9
MAL-1003-1057,Malakoff,48.816375,2.278574,0.229,12,4,1.05,2025-10-03T12:00,13.5,0.0,0.954,2,1.86,2.64,10.6,139.9
RSB-1003-1058,Roissy-en-Brie,48.784387,2.652112,0.676,22,4,1.1,2025-10-03T22:00,11.2,1.16,0.936,9,1.32,1.59,17.4,315.8
VLP-1003-1059,Villepinte,48.960237,2.5615,0.319,17,4,1.74,2025-10-03T17:00,12.1,0.0,0.97,7,1.31,1.18,16.1,103.4
BOB-1003-1060,Bobigny,48.900826,2.422183,0.246,10,4,1.15,2025-10-03T10:00,21.5,0.0,0.964,2,1.89,1.62,6.1,95.3
BOB-1003-1061,Bobigny,48.923104,2.426901,0.901,12,4,1.15,2025-10-03T12:00,13.7,0.0,0.9,5,2.67,2.15,17.7,396.1
RSB-1003-1062,Roissy-en-Brie,48.781137,2.635624,0.483,6,4,1.1,2025-10-03T06:00,22.5,0.45,0.872,5,0.54,0.23,14.3,235.3
MAL-1003-1063,Malakoff,48.832171,2.289073,0.313,15,4,1.05,2025-10-03T15:00,15.8,0.0,0.882,2,1.71,1.67,9.0,143.0
RSB-1003-1064,Roissy-en-Brie,48.791026,2.6347,0.61,12,4,1.1,2025-10-03T12:00,22.6,1.66,0.886,5,3.2,2.45,9.6,286.1
VRY-1003-1065,Viry-Chatillon,48.679371,2.367302,0.202,15,4,1.0,2025-10-03T15:00,13.5,2.29,0.953,3,2.85,2.76,7.5,135.9
MAL-1003-1066,Malakoff,48.815083,2.301136,0.334,12,4,1.05,2025-10-03T12:00,16.3,0.0,0.95,3,0.87,0.27,4.7,175.4
BOB-1003-1067,Bobigny,48.913042,2.463533,0.833,9,4,1.667,2025-10-03T09:00,18.3,0.0,0.957,3,2.17,2.72,20.8,250.0
VLP-1003-1068,Villepinte,48.981949,2.529937,0.109,22,4,1.2,2025-10-03T22:00,21.9,1.61,0.978,3,1.73,2.12,5.7,45.9
BOB-1003-1069,Bobigny,48.900284,2.453275,0.814,19,4,1.667,2025-10-03T19:00,26.9,0.19,0.934,4,2.83,2.51,14.4,238.4
VRY-1003-1070,Viry-Chatillon,48.664163,2.38591,0.381,15,4,1.0,2025-10-03T15:00,18.8,1.75,0.875,1,1.92,1.63,16.2,194.0
VRY-1003-1071,Viry-Chatillon,48.658997,2.382695,0.434,7,4,1.45,2025-10-03T07:00,13.4,0.08,0.901,0,1.36,1.38,13.6,121.1
VLP-1003-1072,Villepinte,48.96746,2.559443,0.574,18,4,1.74,2025-10-03T18:00,15.1,1.39,0.871,5,3.59,4.21,19.4,94.4
VRY-1003-1073,Viry-Chatillon,48.677374,2.387015,0.55,7,4,1.45,2025-10-03T07:00,21.0,0.0,0.882,6,2.63,3.01,15.4,198.6
BOB-1003-1074,Bobigny,48.921704,2.480996,0.39,15,4,1.15,2025-10-03T15:00,16.8,1.15,0.93,3,1.46,0.79,13.6,181.3
BOB-1003-1075,Bobigny,48.92412,2.455643,0.733,20,4,1.667,2025-10-03T20:00,16.0,0.0,0.933,5,3.37,3.36,22.9,232.7
VRY-1003-1076,Viry-Chatillon,48.665546,2.398933,0.295,10,4,1.0,2025-10-03T10:00,18.6,0.67,0.966,2,1.56,1.61,12.8,155.8
BOB-1003-1077,Bobigny,48.905428,2.434356,0.575,20,4,1.667,2025-10-03T20:00,16.9,0.0,0.945,4,1.02,0.76,14.9,182.0
MAL-1003-1078,Malakoff,48.825437,2.307747,0.454,10,4,1.05,2025-10-03T10:00,23.4,0.0,0.931,3,2.15,2.17,9.4,234.5
VRY-1003-1079,Viry-Chatillon,48.670876,2.359425,0.57,8,4,1.45,2025-10-03T08:00,17.1,1.4,0.959,4,1.69,3.4,15.5,191.9
MAL-1003-1080,Malakoff,48.818394,2.296433,0.109,6,4,1.05,2025-10-03T06:00,20.5,0.0,0.905,2,0.3,0.2,9.3,37.7
BOB-1003-1081,Bobigny,48.915513,2.441569,0.555,17,4,1.667,2025-10-03T17:00,17.8,0.0,0.948,7,2.51,3.25,16.0,172.9
BOB-1003-1082,Bobigny,48.914722,2.437098,0.579,22,4,1.15,2025-10-03T22:00,27.5,0.13,0.902,2,1.08,1.35,6.4,259.9
BOB-1003-1083,Bobigny,48.92286,2.422898,0.539,9,4,1.667,2025-10-03T09:00,16.4,3.32,0.992,14,3.25,2.85,14.4,131.5
VRY-1003-1084,Viry-Chatillon,48.657276,2.362418,0.498,16,4,1.0,2025-10-03T16:00,12.7,0.56,0.945,3,0.78,1.55,8.4,208.3
BOB-1003-1085,Bobigny,48.927725,2.467897,0.758,18,4,1.667,2025-10-03T18:00,15.4,0.86,0.909,6,1.43,1.45,16.3,211.9
RSB-1003-1086,Roissy-en-Brie,48.799508,2.652861,0.362,16,4,1.1,2025-10-03T16:00,14.9,0.0,0.945,10,1.51,0.26,14.8,142.6
BOB-1003-1087,Bobigny,48.906676,2.45308,0.422,18,4,1.667,2025-10-03T18:00,18.9,0.0,0.999,6,2.69,2.18,8.4,126.5
BOB-1003-1088,Bobigny,48.915372,2.464134,0.296,12,4,1.15,2025-10-03T12:00,17.9,0.0,0.973,0,2.06,2.66,10.7,120.6
RSB-1003-1089,Roissy-en-Brie,48.793657,2.636675,0.307,17,4,1.595,2025-10-03T17:00,13.8,1.78,0.967,7,1.56,1.37,15.5,106.6
MAL-1003-1090,Malakoff,48.823028,2.319423,0.676,7,4,1.522,2025-10-03T07:00,15.7,3.63,0.917,3,1.91,1.54,21.4,180.1
VLP-1003-1091,Villepinte,48.974488,2.53371,0.375,21,4,1.2,2025-10-03T21:00,17.5,0.57,0.863,3,1.99,2.48,13.4,167.8
VLP-1003-1092,Villepinte,48.970694,2.562207,0.746,21,4,1.2,2025-10-03T21:00,10.9,0.0,0.861,4,2.18,1.73,14.2,330.4
VRY-1003-1093,Viry-Chatillon,48.661199,2.371829,0.398,18,4,1.45,2025-10-03T18:00,24.2,0.0,0.868,4,2.61,2.34,13.5,142.1
VRY-1003-1094,Viry-Chatillon,48.669688,2.394023,0.474,20,4,1.45,2025-10-03T20:00,17.8,2.6,0.955,4,2.06,2.61,7.3,164.7
BOB-1003-1095,Bobigny,48.905791,2.451047,0.619,14,4,1.15,2025-10-03T14:00,26.2,3.15,0.923,6,2.14,1.95,14.7,269.9
RSB-1003-1096,Roissy-en-Brie,48.787456,2.629993,0.716,12,4,1.1,2025-10-03T12:00,20.9,4.99,0.97,9,1.54,0.66,12.7,319.0
MAL-1003-1097,Malakoff,48.82298,2.30083,0.799,7,4,1.522,2025-10-03T07:00,13.3,3.18,0.877,4,2.66,2.53,17.1,301.6
RSB-1003-1098,Roissy-en-Brie,48.79194,2.638209,0.693,17,4,1.595,2025-10-03T17:00,16.8,1.54,0.994,6,2.39,1.73,15.8,217.3
VLP-1003-1099,Villepinte,48.985314,2.542708,0.353,22,4,1.2,2025-10-03T22:00,19.9,5.79,0.967,5,2.76,3.44,13.5,151.5
VRY-1003-1100,Viry-Chatillon,48.672329,2.378775,0.247,11,4,1.0,2025-10-03T11:00,21.5,3.02,0.881,2,1.62,1.53,11.1,111.7
MAL-1003-1101,Malakoff,48.840333,2.295533,0.222,12,4,1.05,2025-10-03T12:00,18.2,0.15,0.878,4,1.47,0.85,8.3,136.5
VLP-1003-1102,Villepinte,48.976283,2.563248,0.579,12,4,1.2,2025-10-03T12:00,24.0,0.0,0.991,5,2.09,2.07,10.4,206.6
VRY-1003-1103,Viry-Chatillon,48.673728,2.394638,0.586,10,4,1.0,2025-10-03T10:00,22.9,0.0,0.894,2,1.11,1.32,12.3,310.4
VLP-1003-1104,Villepinte,48.962996,2.558354,0.288,20,4,1.74,2025-10-03T20:00,23.7,2.04,0.867,3,2.66,2.0,18.3,72.9
VLP-1003-1105,Villepinte,48.977754,2.550863,0.305,19,4,1.74,2025-10-03T19:00,15.7,0.0,0.905,2,2.43,2.39,18.5,84.3
VRY-1003-1106,Viry-Chatillon,48.658713,2.366625,0.286,11,4,1.0,2025-10-03T11:00,17.8,0.62,0.868,1,2.29,2.13,13.4,130.5
MAL-1003-1107,Malakoff,48.828329,2.286836,0.604,7,4,1.522,2025-10-03T07:00,18.1,0.0,0.966,4,1.56,0.7,16.5,205.5
RSB-1003-1108,Roissy-en-Brie,48.796716,2.670219,0.51,19,4,1.595,2025-10-03T19:00,23.4,0.0,0.866,5,3.4,3.45,18.3,156.9
RSB-1003-1109,Roissy-en-Brie,48.800583,2.643448,0.329,9,4,1.595,2025-10-03T09:00,14.1,0.33,0.936,4,2.67,3.5,18.0,85.1
VLP-1003-1110,Villepinte,48.985417,2.558055,0.203,19,4,1.74,2025-10-03T19:00,23.0,3.13,0.997,6,3.67,4.52,13.4,67.7
RSB-1003-1111,Roissy-en-Brie,48.785549,2.686696,0.477,13,4,1.1,2025-10-03T13:00,19.8,0.0,0.959,3,2.17,1.97,11.7,253.8
RSB-1003-1112,Roissy-en-Brie,48.781187,2.658554,0.423,21,4,1.1,2025-10-03T21:00,15.0,0.06,0.978,3,2.02,2.26,10.3,192.3
MAL-1003-1113,Malakoff,48.824561,2.321741,0.486,7,4,1.522,2025-10-03T07:00,13.2,0.08,0.875,2,3.58,4.3,16.1,160.1
VRY-1003-1114,Viry-Chatillon,48.664744,2.394304,0.701,16,4,1.0,2025-10-03T16:00,18.7,1.39,0.989,4,0.65,0.2,6.7,347.5
VLP-1003-1115,Villepinte,48.964535,2.54899,0.329,16,4,1.2,2025-10-03T16:00,17.6,2.77,0.886,5,2.78,2.74,7.6,128.0
RSB-1003-1116,Roissy-en-Brie,48.774107,2.641825,0.446,21,4,1.1,2025-10-03T21:00,18.1,1.98,0.947,0,1.48,1.68,5.8,205.4
BOB-1003-1117,Bobigny,48.899393,2.434296,0.426,22,4,1.15,2025-10-03T22:00,15.2,1.28,0.862,2,0.63,1.03,7.7,151.7
MAL-1003-1118,Malakoff,48.828488,2.279065,0.534,14,4,1.05,2025-10-03T14:00,17.1,1.99,0.972,0,2.28,3.12,11.5,234.4
BOB-1003-1119,Bobigny,48.908603,2.443377,0.584,11,4,1.15,2025-10-03T11:00,14.4,0.0,0.891,3,1.45,1.84,7.7,268.6
VLP-1003-1120,Villepinte,48.976616,2.556147,0.501,15,4,1.2,2025-10-03T15:00,20.3,1.35,0.874,4,2.72,2.59,10.3,208.6
VLP-1003-1121,Villepinte,48.954951,2.564666,0.237,14,4,1.2,2025-10-03T14:00,17.1,1.42,0.893,0,2.29,2.51,10.7,105.7
VRY-1003-1122,Viry-Chatillon,48.660942,2.381365,0.68,21,4,1.0,2025-10-03T21:00,29.7,1.05,0.877,4,2.36,2.57,10.7,296.9
VLP-1003-1123,Villepinte,48.957164,2.538639,0.752,9,4,1.74,2025-10-03T09:00,22.2,0.94,0.934,5,1.33,2.34,17.9,210.6
RSB-1003-1124,Roissy-en-Brie,48.7945,2.646743,0.149,6,4,1.1,2025-10-03T06:00,9.2,1.32,0.934,5,2.6,1.89,12.0,101.1
BOB-1003-1125,Bobigny,48.903665,2.437363,0.59,14,4,1.15,2025-10-03T14:00,19.5,0.0,0.865,6,1.92,0.99,13.3,253.7
MAL-1003-1126,Malakoff,48.837241,2.325561,0.53,21,4,1.05,2025-10-03T21:00,17.5,6.02,0.974,3,1.59,1.04,9.9,220.1
BOB-1003-1127,Bobigny,48.913495,2.44018,0.563,16,4,1.15,2025-10-03T16:00,15.9,1.43,0.878,3,1.79,1.44,15.3,243.4
MAL-1003-1128,Malakoff,48.808634,2.27768,0.495,19,4,1.522,2025-10-03T19:00,20.1,0.0,0.94,5,2.45,2.73,19.5,162.6
MAL-1003-1129,Malakoff,48.819317,2.283064,0.674,16,4,1.05,2025-10-03T16:00,16.8,0.0,0.961,2,1.16,0.2,9.7,327.7
VRY-1003-1130,Viry-Chatillon,48.667235,2.384225,0.546,19,4,1.45,2025-10-03T19:00,18.5,1.65,0.921,4,1.94,2.48,16.1,177.6
VLP-1003-1131,Villepinte,48.973859,2.553187,0.682,7,4,1.74,2025-10-03T07:00,14.8,0.0,0.888,4,2.14,1.13,12.6,164.0
RSB-1003-1132,Roissy-en-Brie,48.790546,2.630773,0.574,12,4,1.1,2025-10-03T12:00,19.7,0.96,0.867,3,3.59,4.26,11.2,236.8
RSB-1003-1133,Roissy-en-Brie,48.806702,2.635218,0.657,20,4,1.595,2025-10-03T20:00,18.5,1.06,0.884,8,2.17,2.7,13.4,189.1
VLP-1003-1134,Villepinte,48.969956,2.572,0.297,8,4,1.74,2025-10-03T08:00,19.7,1.52,0.98,8,3.17,2.75,19.7,84.0
MAL-1003-1135,Malakoff,48.818026,2.295887,0.494,11,4,1.05,2025-10-03T11:00,30.0,0.0,0.94,5,1.98,2.14,12.1,229.2
BOB-1003-1136,Bobigny,48.903097,2.463498,0.741,15,4,1.15,2025-10-03T15:00,15.5,1.18,0.909,4,2.07,2.23,15.1,317.9
MAL-1003-1137,Malakoff,48.804735,2.319572,0.511,13,4,1.05,2025-10-03T13:00,22.8,4.58,0.865,4,2.0,2.15,13.3,227.6
VRY-1003-1138,Viry-Chatillon,48.6698,2.38364,0.384,19,4,1.45,2025-10-03T19:00,14.9,0.0,0.938,7,1.75,2.11,14.4,116.6
VLP-1003-1139,Villepinte,48.960676,2.55527,0.578,7,4,1.74,2025-10-03T07:00,19.5,0.0,0.989,2,3.62,3.71,11.4,172.2
VRY-1003-1140,Viry-Chatillon,48.673654,2.380333,0.318,13,4,1.0,2025-10-03T13:00,20.3,0.0,0.98,4,1.14,1.3,10.9,134.8
MAL-1003-1141,Malakoff,48.822792,2.294574,0.358,13,4,1.05,2025-10-03T13:00,17.4,6.43,0.966,6,1.68,1.31,11.7,148.7
VLP-1003-1142,Villepinte,48.970709,2.555605,0.542,22,4,1.2,2025-10-03T22:00,24.5,0.0,0.975,3,2.42,2.42,6.1,202.5
BOB-1003-1143,Bobigny,48.907638,2.429724,0.623,19,4,1.667,2025-10-03T19:00,19.8,0.15,0.903,1,2.88,3.51,15.9,228.8
BOB-1003-1144,Bobigny,48.91178,2.448766,0.458,22,4,1.15,2025-10-03T22:00,17.9,0.0,0.861,5,2.47,2.93,7.1,188.5
RSB-1003-1145,Roissy-en-Brie,48.782419,2.641757,0.388,11,4,1.1,2025-10-03T11:00,11.7,0.94,0.893,4,2.07,2.03,20.1,150.8
VRY-1003-1146,Viry-Chatillon,48.664674,2.386494,0.228,20,4,1.45,2025-10-03T20:00,14.3,1.94,0.884,4,3.56,2.69,14.0,69.2
MAL-1003-1147,Malakoff,48.825269,2.311983,0.153,13,4,1.05,2025-10-03T13:00,15.5,0.39,0.973,2,1.61,1.27,9.8,68.6
RSB-1003-1148,Roissy-en-Brie,48.777702,2.638067,0.658,11,4,1.1,2025-10-03T11:00,15.3,0.0,0.866,2,1.59,1.18,11.9,280.9
BOB-1003-1149,Bobigny,48.909083,2.446257,0.757,11,4,1.15,2025-10-03T11:00,16.5,0.0,0.869,1,2.33,1.58,9.4,347.7
BOB-1003-1150,Bobigny,48.908575,2.415543,0.497,19,4,1.667,2025-10-03T19:00,9.9,0.0,0.995,5,1.76,0.81,14.9,149.0
BOB-1003-1151,Bobigny,48.917261,2.431558,0.527,17,4,1.667,2025-10-03T17:00,13.5,0.35,0.996,4,3.62,4.55,19.9,155.6
BOB-1003-1152,Bobigny,48.90424,2.452568,0.375,11,4,1.15,2025-10-03T11:00,25.7,0.4,0.932,5,1.51,2.61,16.5,134.3
MAL-1003-1153,Malakoff,48.811904,2.289493,0.725,14,4,1.05,2025-10-03T14:00,23.0,4.26,0.976,1,2.44,2.02,12.6,344.0
BOB-1003-1154,Bobigny,48.9132,2.469336,0.135,8,4,1.667,2025-10-03T08:00,16.5,0.0,0.912,11,3.53,2.94,22.0,15.7
MAL-1003-1155,Malakoff,48.806808,2.315477,0.182,22,4,1.05,2025-10-03T22:00,19.8,0.73,0.884,5,1.36,0.5,7.8,80.9
VLP-1003-1156,Villepinte,48.960174,2.556168,0.535,8,4,1.74,2025-10-03T08:00,16.0,0.0,0.998,4,2.96,2.87,14.5,180.8
VLP-1003-1157,Villepinte,48.967955,2.531796,0.552,13,4,1.2,2025-10-03T13:00,10.9,6.34,0.888,4,2.29,2.71,8.4,239.3
RSB-1003-1158,Roissy-en-Brie,48.793744,2.641748,0.586,15,4,1.1,2025-10-03T15:00,15.2,0.0,0.913,6,1.2,2.21,7.1,270.1
BOB-1003-1159,Bobigny,48.903241,2.448371,0.565,15,4,1.15,2025-10-03T15:00,21.8,0.73,0.879,4,3.2,2.5,15.0,243.1
VLP-1003-1160,Villepinte,48.960884,2.533354,0.809,14,4,1.2,2025-10-03T14:00,15.3,3.37,0.96,3,1.27,0.87,8.6,341.3
RSB-1003-1161,Roissy-en-Brie,48.78198,2.65781,0.351,20,4,1.595,2025-10-03T20:00,10.9,2.9,0.86,5,3.16,2.87,15.7,110.2
MAL-1003-1162,Malakoff,48.806113,2.311559,0.203,17,4,1.522,2025-10-03T17:00,19.2,0.81,0.907,3,0.44,0.28,13.6,56.4
VRY-1003-1163,Viry-Chatillon,48.665284,2.378879,0.222,6,4,1.0,2025-10-03T06:00,22.9,0.0,0.869,3,1.2,1.21,12.4,120.9
BOB-1003-1164,Bobigny,48.90348,2.450941,0.483,6,4,1.15,2025-10-03T06:00,17.0,0.15,0.92,5,1.47,1.13,13.0,205.8
MAL-1003-1165,Malakoff,48.809413,2.31148,0.1,17,4,1.522,2025-10-03T17:00,25.8,0.0,0.98,6,2.14,0.75,13.1,25.9
MAL-1003-1166,Malakoff,48.817791,2.319262,0.515,14,4,1.05,2025-10-03T14:00,19.0,0.0,0.983,3,1.96,1.6,18.5,255.5
RSB-1003-1167,Roissy-en-Brie,48.786574,2.666513,0.644,17,4,1.595,2025-10-03T17:00,11.2,1.26,0.864,8,2.11,0.62,17.6,189.9
MAL-1003-1168,Malakoff,48.802843,2.295108,0.695,6,4,1.05,2025-10-03T06:00,20.1,2.25,0.898,4,1.92,2.01,11.6,296.7
VLP-1003-1169,Villepinte,48.973914,2.541001,0.186,13,4,1.2,2025-10-03T13:00,15.2,1.76,0.954,1,2.96,3.26,7.8,52.1
BOB-1003-1170,Bobigny,48.913006,2.440529,0.589,16,4,1.15,2025-10-03T16:00,12.0,0.04,0.976,1,2.43,2.74,8.8,243.8
