vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score
MAL-1002-1145,Malakoff,48.813194,2.304176,0.41,14,3,1.05
VRY-1002-1146,Viry-Chatillon,48.668545,2.370491,0.635,22,3,1.0
BOB-1002-1147,Bobigny,48.916185,2.456606,0.685,13,3,1.15
MAL-1002-1148,Malakoff,48.81548,2.297824,0.275,18,3,1.522
BOB-1002-1149,Bobigny,48.918262,2.443031,0.65,14,3,1.15
MAL-1002-1150,Malakoff,48.810016,2.303376,0.497,15,3,1.05
BOB-1002-1151,Bobigny,48.905791,2.42036,0.499,21,3,1.15
RSB-1002-1152,Roissy-en-Brie,48.796414,2.646708,0.699,6,3,1.1
MAL-1002-1153,Malakoff,48.8179,2.308824,0.434,22,3,1.05
VLP-1002-1154,Villepinte,48.958417,2.531845,0.384,14,3,1.2
RSB-1002-1155,Roissy-en-Brie,48.799158,2.659582,0.418,10,3,1.1
BOB-1002-1156,Bobigny,48.916902,2.440483,0.627,9,3,1.667
RSB-1002-1157,Roissy-en-Brie,48.796247,2.645453,0.672,16,3,1.1
MAL-1002-1158,Malakoff,48.83117,2.295454,0.508,12,3,1.05
VLP-1002-1159,Villepinte,48.978802,2.552637,0.221,19,3,1.74
BOB-1002-1160,Bobigny,48.908463,2.442066,0.279,7,3,1.667
BOB-1002-1161,Bobigny,48.894327,2.466785,0.49,11,3,1.15
RSB-1002-1162,Roissy-en-Brie,48.800158,2.626892,0.573,16,3,1.1
MAL-1002-1163,Malakoff,48.832466,2.300996,0.614,16,3,1.05
VLP-1002-1164,Villepinte,48.957059,2.587287,0.689,19,3,1.74
RSB-1002-1165,Roissy-en-Brie,48.802242,2.661358,0.309,19,3,1.595
MAL-1002-1166,Malakoff,48.827194,2.291795,0.433,9,3,1.522
BOB-1002-1167,Bobigny,48.902982,2.413905,0.55,19,3,1.667
RSB-1002-1168,Roissy-en-Brie,48.793445,2.645254,0.44,21,3,1.1
VLP-1002-1169,Villepinte,48.9761,2.528448,0.714,19,3,1.74
RSB-1002-1170,Roissy-en-Brie,48.782104,2.655399,0.484,16,3,1.1
VRY-1002-1171,Viry-Chatillon,48.662215,2.386493,0.521,8,3,1.45
BOB-1002-1172,Bobigny,48.901623,2.432902,0.529,7,3,1.667
RSB-1002-1173,Roissy-en-Brie,48.802769,2.646497,0.464,7,3,1.595
VRY-1002-1174,Viry-Chatillon,48.667963,2.380685,0.433,8,3,1.45
RSB-1002-1175,Roissy-en-Brie,48.795556,2.666206,0.351,9,3,1.595
BOB-1002-1176,Bobigny,48.908169,2.473201,0.405,8,3,1.667
RSB-1002-1177,Roissy-en-Brie,48.801141,2.657164,0.538,22,3,1.1
BOB-1002-1178,Bobigny,48.906419,2.461787,0.276,19,3,1.667
VRY-1002-1179,Viry-Chatillon,48.668746,2.354556,0.571,13,3,1.0
BOB-1002-1180,Bobigny,48.910135,2.43593,0.641,8,3,1.667
RSB-1002-1181,Roissy-en-Brie,48.802211,2.639353,0.637,20,3,1.595
MAL-1002-1182,Malakoff,48.833226,2.315866,0.415,11,3,1.05
VLP-1002-1183,Villepinte,48.977343,2.542174,0.37,9,3,1.74
MAL-1002-1184,Malakoff,48.806392,2.290311,0.683,19,3,1.522
VLP-1002-1185,Villepinte,48.967943,2.547851,0.466,18,3,1.74
VRY-1002-1186,Viry-Chatillon,48.661322,2.36144,0.281,12,3,1.0
MAL-1002-1187,Malakoff,48.821394,2.305347,0.416,12,3,1.05
MAL-1002-1188,Malakoff,48.825164,2.307287,0.394,13,3,1.05
RSB-1002-1189,Roissy-en-Brie,48.796402,2.658035,0.731,8,3,1.595
VLP-1002-1190,Villepinte,48.984009,2.565049,0.621,15,3,1.2
MAL-1002-1191,Malakoff,48.836626,2.316993,0.675,16,3,1.05
MAL-1002-1192,Malakoff,48.811472,2.327069,0.824,8,3,1.522
VRY-1002-1193,Viry-Chatillon,48.664385,2.371455,0.58,15,3,1.0
VRY-1002-1194,Viry-Chatillon,48.683519,2.392709,0.312,6,3,1.0
RSB-1002-1195,Roissy-en-Brie,48.772507,2.650387,0.254,13,3,1.1
RSB-1002-1196,Roissy-en-Brie,48.794014,2.637371,0.54,6,3,1.1
VRY-1002-1197,Viry-Chatillon,48.660649,2.390321,0.32,15,3,1.0
BOB-1002-1198,Bobigny,48.92333,2.455431,0.407,21,3,1.15
VLP-1002-1199,Villepinte,48.957708,2.550635,0.179,20,3,1.74
MAL-1002-1200,Malakoff,48.825036,2.294287,0.228,18,3,1.522
BOB-1002-1201,Bobigny,48.899776,2.465458,0.715,16,3,1.15
RSB-1002-1202,Roissy-en-Brie,48.774032,2.658108,0.458,10,3,1.1
RSB-1002-1203,Roissy-en-Brie,48.792521,2.63615,0.281,12,3,1.1
VLP-1002-1204,Villepinte,48.971933,2.578903,0.634,7,3,1.74
VRY-1002-1205,Viry-Chatillon,48.666541,2.382144,0.411,6,3,1.0
VRY-1002-1206,Viry-Chatillon,48.647913,2.40383,0.832,10,3,1.0
RSB-1002-1207,Roissy-en-Brie,48.779161,2.65208,0.377,19,3,1.595
VLP-1002-1208,Villepinte,48.970285,2.563908,0.436,6,3,1.2
RSB-1002-1209,Roissy-en-Brie,48.802313,2.62915,0.38,11,3,1.1
VRY-1002-1210,Viry-Chatillon,48.681504,2.396213,0.596,7,3,1.45
VRY-1002-1211,Viry-Chatillon,48.676829,2.384279,0.294,13,3,1.0
VLP-1002-1212,Villepinte,48.972555,2.547749,0.541,22,3,1.2
MAL-1002-1213,Malakoff,48.817333,2.300024,0.28,16,3,1.05
MAL-1002-1214,Malakoff,48.821066,2.312106,0.28,18,3,1.522
BOB-1002-1215,Bobigny,48.907854,2.458023,0.503,14,3,1.15
VRY-1002-1216,Viry-Chatillon,48.672631,2.373755,0.566,8,3,1.45
VLP-1002-1217,Villepinte,48.967405,2.540503,0.1,22,3,1.2
VRY-1002-1218,Viry-Chatillon,48.674531,2.364647,0.488,18,3,1.45
RSB-1002-1219,Roissy-en-Brie,48.791168,2.645303,0.761,21,3,1.1
VRY-1002-1220,Viry-Chatillon,48.673921,2.391576,0.423,6,3,1.0
VRY-1002-1221,Viry-Chatillon,48.676472,2.375403,0.884,15,3,1.0
VLP-1002-1222,Villepinte,48.975816,2.521859,0.625,17,3,1.74
RSB-1002-1223,Roissy-en-Brie,48.791751,2.640754,0.514,21,3,1.1
BOB-1002-1224,Bobigny,48.912344,2.466863,0.184,22,3,1.15
RSB-1002-1225,Roissy-en-Brie,48.782721,2.651674,0.1,10,3,1.1
VLP-1002-1226,Villepinte,48.985534,2.555116,0.426,8,3,1.74
VRY-1002-1227,Viry-Chatillon,48.663279,2.390913,0.304,14,3,1.0
BOB-1002-1228,Bobigny,48.915637,2.450185,0.412,7,3,1.667
BOB-1002-1229,Bobigny,48.893084,2.446407,0.416,17,3,1.667
VLP-1002-1230,Villepinte,48.951415,2.572796,0.584,9,3,1.74
RSB-1002-1231,Roissy-en-Brie,48.78994,2.655653,0.321,15,3,1.1
RSB-1002-1232,Roissy-en-Brie,48.777362,2.645039,0.33,15,3,1.1
BOB-1002-1233,Bobigny,48.916373,2.446426,0.69,11,3,1.15
RSB-1002-1234,Roissy-en-Brie,48.787196,2.640282,0.923,14,3,1.1
MAL-1002-1235,Malakoff,48.826482,2.297659,0.525,13,3,1.05
VRY-1002-1236,Viry-Chatillon,48.673247,2.359779,0.594,17,3,1.45
RSB-1002-1237,Roissy-en-Brie,48.787446,2.641696,0.738,12,3,1.1
MAL-1002-1238,Malakoff,48.818628,2.341105,0.548,14,3,1.05
VLP-1002-1239,Villepinte,48.991593,2.542849,0.652,20,3,1.74
RSB-1002-1240,Roissy-en-Brie,48.782542,2.651266,0.883,14,3,1.1
BOB-1002-1241,Bobigny,48.908376,2.463272,0.461,8,3,1.667
VRY-1002-1242,Viry-Chatillon,48.654548,2.372443,0.179,7,3,1.45
VLP-1002-1243,Villepinte,48.972757,2.536248,0.281,10,3,1.2
VLP-1002-1244,Villepinte,48.962885,2.55723,0.606,8,3,1.74
VLP-1002-1245,Villepinte,48.981576,2.54866,0.437,9,3,1.74
MAL-1002-1246,Malakoff,48.817027,2.303026,0.238,8,3,1.522
VLP-1002-1247,Villepinte,48.960648,2.578049,0.435,21,3,1.2
VLP-1002-1248,Villepinte,48.987506,2.529244,0.356,13,3,1.2
MAL-1002-1249,Malakoff,48.811759,2.301328,0.712,12,3,1.05
VRY-1002-1250,Viry-Chatillon,48.655082,2.386135,0.357,9,3,1.45
MAL-1002-1251,Malakoff,48.82691,2.306027,0.68,19,3,1.522
BOB-1002-1252,Bobigny,48.911525,2.450567,0.646,11,3,1.15
MAL-1002-1253,Malakoff,48.830897,2.317108,0.756,16,3,1.05
VRY-1002-1254,Viry-Chatillon,48.673831,2.378676,0.505,8,3,1.45
MAL-1002-1255,Malakoff,48.816671,2.305217,0.626,12,3,1.05
VLP-1002-1256,Villepinte,48.972364,2.535172,0.217,14,3,1.2
BOB-1002-1257,Bobigny,48.905255,2.450393,0.318,17,3,1.667
RSB-1002-1258,Roissy-en-Brie,48.787981,2.659665,0.533,22,3,1.1
VRY-1002-1259,Viry-Chatillon,48.673492,2.397231,0.431,8,3,1.45
VRY-1002-1260,Viry-Chatillon,48.660187,2.385233,0.623,18,3,1.45
VLP-1002-1261,Villepinte,48.97136,2.537356,0.793,20,3,1.74
VRY-1002-1262,Viry-Chatillon,48.663315,2.357343,0.518,18,3,1.45
MAL-1002-1263,Malakoff,48.817771,2.304211,0.245,12,3,1.05
VRY-1002-1264,Viry-Chatillon,48.674629,2.3732,0.544,16,3,1.0
RSB-1002-1265,Roissy-en-Brie,48.779933,2.666106,0.808,19,3,1.595
VLP-1002-1266,Villepinte,48.980211,2.538055,0.447,9,3,1.74
VRY-1002-1267,Viry-Chatillon,48.663539,2.387268,0.357,12,3,1.0
VRY-1002-1268,Viry-Chatillon,48.677437,2.361282,0.46,16,3,1.0
RSB-1002-1269,Roissy-en-Brie,48.79004,2.647697,0.31,11,3,1.1
VLP-1002-1270,Villepinte,48.961546,2.551403,0.139,9,3,1.74
VRY-1002-1271,Viry-Chatillon,48.673761,2.374083,0.51,21,3,1.0
VRY-1002-1272,Viry-Chatillon,48.656184,2.353358,0.685,6,3,1.0
VRY-1002-1273,Viry-Chatillon,48.676989,2.371023,0.435,12,3,1.0
RSB-1002-1274,Roissy-en-Brie,48.79403,2.654231,0.626,16,3,1.1
MAL-1002-1275,Malakoff,48.811705,2.306011,0.166,22,3,1.05
BOB-1002-1276,Bobigny,48.909148,2.453483,0.426,8,3,1.667
VRY-1002-1277,Viry-Chatillon,48.679489,2.380757,0.503,12,3,1.0
RSB-1002-1278,Roissy-en-Brie,48.814698,2.655216,0.499,10,3,1.1
MAL-1002-1279,Malakoff,48.830794,2.297578,0.314,9,3,1.522
VRY-1002-1280,Viry-Chatillon,48.663951,2.364061,0.68,17,3,1.45
RSB-1002-1281,Roissy-en-Brie,48.797093,2.655655,0.574,11,3,1.1
RSB-1002-1282,Roissy-en-Brie,48.785608,2.669818,0.268,19,3,1.595
MAL-1002-1283,Malakoff,48.826411,2.30357,0.487,7,3,1.522
MAL-1002-1284,Malakoff,48.815711,2.276686,0.339,8,3,1.522
BOB-1002-1285,Bobigny,48.927287,2.458085,0.413,20,3,1.667
VLP-1002-1286,Villepinte,48.964279,2.537906,0.289,7,3,1.74
RSB-1002-1287,Roissy-en-Brie,48.800205,2.64025,0.605,12,3,1.1
BOB-1002-1288,Bobigny,48.902107,2.437185,0.489,17,3,1.667
BOB-1002-1289,Bobigny,48.903587,2.457122,0.229,22,3,1.15
BOB-1002-1290,Bobigny,48.913487,2.456923,0.545,16,3,1.15
BOB-1002-1291,Bobigny,48.932406,2.449138,0.553,15,3,1.15
RSB-1002-1292,Roissy-en-Brie,48.794526,2.650933,0.623,12,3,1.1
VRY-1002-1293,Viry-Chatillon,48.644853,2.384804,0.568,12,3,1.0
BOB-1002-1294,Bobigny,48.91401,2.445195,0.669,22,3,1.15
RSB-1002-1295,Roissy-en-Brie,48.804194,2.646597,0.589,14,3,1.1
VRY-1002-1296,Viry-Chatillon,48.678178,2.377395,0.364,19,3,1.45
MAL-1002-1297,Malakoff,48.825809,2.282409,0.677,22,3,1.05
VLP-1002-1298,Villepinte,48.972648,2.539158,0.31,14,3,1.2
MAL-1002-1299,Malakoff,48.808465,2.301308,0.562,13,3,1.05
BOB-1002-1300,Bobigny,48.908265,2.462129,0.517,21,3,1.15
MAL-1002-1301,Malakoff,48.821339,2.305527,0.536,16,3,1.05
VLP-1002-1302,Villepinte,48.979617,2.55961,0.384,17,3,1.74
RSB-1002-1303,Roissy-en-Brie,48.782254,2.6434,0.615,17,3,1.595
BOB-1002-1304,Bobigny,48.916144,2.456274,0.9,9,3,1.667
VLP-1002-1305,Villepinte,48.974005,2.567542,0.547,10,3,1.2
RSB-1002-1306,Roissy-en-Brie,48.80953,2.638428,0.629,18,3,1.595
MAL-1002-1307,Malakoff,48.822884,2.305076,0.412,14,3,1.05
MAL-1002-1308,Malakoff,48.821658,2.306939,0.547,10,3,1.05
VLP-1002-1309,Villepinte,48.967474,2.527567,0.79,19,3,1.74
RSB-1002-1310,Roissy-en-Brie,48.779472,2.64525,0.518,12,3,1.1
RSB-1002-1311,Roissy-en-Brie,48.79915,2.64494,0.531,12,3,1.1
MAL-1002-1312,Malakoff,48.825046,2.321343,0.251,18,3,1.522
VLP-1002-1313,Villepinte,48.984285,2.56364,0.257,13,3,1.2
VRY-1002-1314,Viry-Chatillon,48.678408,2.376658,0.354,15,3,1.0
MAL-1002-1315,Malakoff,48.813926,2.302345,0.432,15,3,1.05
MAL-1002-1316,Malakoff,48.829773,2.303328,0.136,10,3,1.05
MAL-1002-1317,Malakoff,48.823129,2.295088,0.534,19,3,1.522
VRY-1002-1318,Viry-Chatillon,48.662777,2.376395,0.708,12,3,1.0
MAL-1002-1319,Malakoff,48.82672,2.326709,0.1,9,3,1.522
VRY-1002-1320,Viry-Chatillon,48.663643,2.37776,0.589,9,3,1.45
VRY-1002-1321,Viry-Chatillon,48.666444,2.378254,0.406,8,3,1.45
VLP-1002-1322,Villepinte,48.979879,2.537178,0.412,21,3,1.2
VRY-1002-1323,Viry-Chatillon,48.682394,2.366667,0.366,9,3,1.45
VLP-1002-1324,Villepinte,48.968257,2.557143,0.237,10,3,1.2
VRY-1002-1325,Viry-Chatillon,48.672982,2.372155,0.286,20,3,1.45
VRY-1002-1326,Viry-Chatillon,48.674723,2.373516,0.509,6,3,1.0
VLP-1002-1327,Villepinte,48.97424,2.558996,0.461,21,3,1.2
VLP-1002-1328,Villepinte,48.962135,2.569873,0.335,18,3,1.74
VLP-1002-1329,Villepinte,48.962249,2.550459,0.474,14,3,1.2
RSB-1002-1330,Roissy-en-Brie,48.778511,2.642895,0.503,15,3,1.1
RSB-1002-1331,Roissy-en-Brie,48.799926,2.661733,0.501,15,3,1.1
VRY-1002-1332,Viry-Chatillon,48.677772,2.37899,0.728,17,3,1.45
VLP-1002-1333,Villepinte,48.978364,2.53617,0.272,6,3,1.2
MAL-1002-1334,Malakoff,48.814698,2.299689,0.357,21,3,1.05
VLP-1002-1335,Villepinte,48.969223,2.562913,0.213,22,3,1.2
BOB-1002-1336,Bobigny,48.898796,2.442442,0.403,20,3,1.667
BOB-1002-1337,Bobigny,48.913909,2.453758,0.465,15,3,1.15
VLP-1002-1338,Villepinte,48.970533,2.546356,0.292,11,3,1.2
MAL-1002-1339,Malakoff,48.82733,2.303744,0.438,21,3,1.05
BOB-1002-1340,Bobigny,48.910601,2.431648,0.381,15,3,1.15
MAL-1002-1341,Malakoff,48.816469,2.300211,0.479,21,3,1.05
MAL-1002-1342,Malakoff,48.824513,2.297983,0.37,21,3,1.05
MAL-1002-1343,Malakoff,48.817958,2.299759,0.545,21,3,1.05
RSB-1002-1344,Roissy-en-Brie,48.784654,2.648943,0.194,9,3,1.595
BOB-1002-1345,Bobigny,48.919417,2.449541,0.433,8,3,1.667
VRY-1002-1346,Viry-Chatillon,48.660277,2.378864,0.499,14,3,1.0
MAL-1002-1347,Malakoff,48.824853,2.295484,0.551,8,3,1.522
