vehicle_id,zone_name,latitude,longitude,soc_now,hour,day_of_week,demand_zone_score,minutes_to_empty,pred_minutes_to_empty,pred_minutes_to_20pct,dist_km_to_hub,priority_score
ROI-1016,Roissy-en-Brie,48.775846,2.64369,0.33,15,3,1.1,115.8,122.43050000000014,48.23019696969702,20.464579242111625,0.5398877126241838
VIL-1017,Villepinte,48.963373,2.547803,0.646,17,5,2.001,155.6,158.53449999999964,109.4526114551081,15.293405969313795,0.6462800130260771
BOB-1018,Bobigny,48.920602,2.466949,0.708,10,0,1.15,279.9,246.8870000000001,177.14490960451988,7.798587058086238,0.3151381933422236
BOB-1019,Bobigny,48.923398,2.429889,0.31,9,6,1.918,83.5,87.59049999999985,31.08049999999994,6.746029852607994,0.8846520812711408
BOB-1020,Bobigny,48.934052,2.450885,0.272,16,6,1.322,75.0,77.23099999999998,20.443499999999997,8.43178117020083,0.7508461355883846
BOB-1021,Bobigny,48.915835,2.442863,0.61,9,2,1.667,165.7,162.31850000000028,109.09931967213133,6.366104328714457,0.6268783821598786
MAL-1022,Malakoff,48.809377,2.297104,0.309,6,6,1.208,101.0,106.0865,37.42209870550161,9.816008487404636,0.6695479625297619
VIR-1023,Viry-Chatillon,48.678135,2.361537,0.142,21,0,1.0,62.1,68.24800000000015,0.0,21.078945502133003,0.6328292805717726
VIL-1024,Villepinte,48.972599,2.561727,0.684,14,0,1.2,222.0,206.15399999999994,145.8750526315789,16.737531780282882,0.3436910452818335
ROI-1025,Roissy-en-Brie,48.787145,2.665979,0.491,6,3,1.1,204.3,191.0369999999999,113.22152138492864,21.35397827578129,0.3688505720630663
ROI-1026,Roissy-en-Brie,48.795669,2.647532,0.1,19,1,1.595,10.3,28.575000000000056,0.0,19.734502696169308,0.7909363954218191
BOB-1027,Bobigny,48.927345,2.415683,0.659,6,5,1.322,192.7,188.509,131.29837784522002,6.916924460006649,0.48054688062612616
ROI-1028,Roissy-en-Brie,48.798221,2.678452,0.203,17,2,1.595,38.1,43.7615000000001,0.6467216748768493,21.730385541635723,0.7751853557547306
BOB-1029,Bobigny,48.929105,2.429554,0.942,7,4,1.667,239.2,192.25200000000015,151.43416560509567,7.342004584680167,0.5126623358876659
VIL-1030,Villepinte,48.976257,2.537143,0.448,9,2,1.74,111.9,125.21500000000006,69.31544642857146,15.834071057495649,0.6790175793897331
BOB-1031,Bobigny,48.923272,2.437599,0.535,10,4,1.15,194.0,194.68449999999993,121.90524766355136,6.9362159262557155,0.46126441017821634
ROI-1032,Roissy-en-Brie,48.780505,2.641047,0.489,6,2,1.1,161.6,172.32849999999954,101.84649591002017,20.04456794521608,0.4069435409571617
VIR-1033,Viry-Chatillon,48.676351,2.363797,0.64,7,6,1.667,162.3,165.21099999999973,113.58256249999981,21.254249670808697,0.5102488666808329
VIL-1034,Villepinte,48.974498,2.576684,0.171,15,6,1.38,41.8,46.25000000000006,0.0,17.66955103660612,0.751840076815681
BOB-1035,Bobigny,48.908167,2.437425,0.492,13,5,1.322,159.7,156.90000000000032,93.11951219512214,5.428818513372404,0.5878492757365865
MAL-1036,Malakoff,48.804394,2.320005,0.1,22,3,1.05,48.5,57.26550000000001,0.0,9.01147856881369,0.7306383238629185
BOB-1037,Bobigny,48.932104,2.427731,0.695,20,2,1.667,191.7,183.75250000000025,130.8740827338131,7.624820425190747,0.562781186274847
BOB-1038,Bobigny,48.918928,2.422707,0.311,10,1,1.15,146.8,108.12249999999987,38.59034565916394,6.114969051470167,0.678268759559906
VIR-1039,Viry-Chatillon,48.668845,2.392476,0.223,21,0,1.0,112.0,101.38349999999996,10.45659417040358,21.929570008170284,0.6003082633065356
BOB-1040,Bobigny,48.923773,2.45477,0.237,8,3,1.667,64.3,61.76799999999992,9.64310548523205,7.569675003731573,0.8704836799669327
VIL-1041,Villepinte,48.9632,2.546049,0.576,20,0,1.74,151.0,150.81349999999992,98.44770138888883,15.189474815197476,0.6097267571967875
MAL-1042,Malakoff,48.817474,2.271283,0.371,15,5,1.208,131.6,133.21099999999976,61.39914016172495,10.855736826841847,0.6014164608384
VIR-1043,Viry-Chatillon,48.670585,2.41522,0.625,6,4,1.0,293.4,270.9675000000005,184.25790000000032,21.757768620615554,0.1609480258100366
VIR-1044,Viry-Chatillon,48.670698,2.37422,0.264,17,1,1.45,80.5,78.16550000000002,18.949212121212128,21.79862704904241,0.6920934607539057
BOB-1045,Bobigny,48.926868,2.431065,0.501,8,0,1.667,113.6,137.96150000000017,82.88704890219572,7.139030165315061,0.6878598969861989
VIL-1046,Villepinte,48.958445,2.573552,0.227,15,1,1.2,63.0,71.41050000000003,8.493759911894275,16.3255755119714,0.6948563188434858
MAL-1047,Malakoff,48.80957,2.309897,0.434,16,4,1.05,163.4,157.47250000000042,84.90452764976982,9.102679691035874,0.5147660755869069
BOB-1048,Bobigny,48.91171,2.421597,0.446,14,2,1.15,165.3,160.5439999999997,88.5511748878922,5.322345142835165,0.5572254757595894
VIR-1049,Viry-Chatillon,48.674921,2.357088,0.73,10,3,1.0,297.6,293.9124999999992,213.38852739725974,21.478494024411383,0.08907836791661461
VIL-1050,Villepinte,48.963731,2.52987,0.1,22,5,1.38,28.9,44.186499999999896,0.0,14.427774974698684,0.7747606530802208
BOB-1051,Bobigny,48.917608,2.44281,0.508,17,4,1.667,125.4,125.76850000000022,76.25334251968518,6.536550488532336,0.7089356665610379
MAL-1052,Malakoff,48.839123,2.305978,0.652,10,2,1.05,303.8,281.0880000000003,194.86468711656462,7.500360171777398,0.24735326813210345
BOB-1053,Bobigny,48.927707,2.440006,0.508,12,4,1.15,219.2,208.7469999999998,126.56314173228333,7.458747782027056,0.44576245670516546
ROI-1054,Roissy-en-Brie,48.796138,2.670368,0.191,11,6,1.265,55.7,64.8630000000001,0.0,21.260310475950668,0.6977307780978352
VIL-1055,Villepinte,48.975591,2.563088,0.189,10,4,1.2,38.1,75.9185,0.0,17.043896850592912,0.7113086423622494
MAL-1056,Malakoff,48.822899,2.287192,0.689,18,3,1.522,170.9,182.9840000000001,129.86817997097248,9.54542725139494,0.515537885017451
ROI-1057,Roissy-en-Brie,48.793109,2.67213,0.32,15,1,1.1,84.5,99.18050000000001,37.192687500000005,21.505640337472617,0.5605063833368528
BOB-1058,Bobigny,48.919815,2.42567,0.55,13,4,1.15,215.5,211.487,134.58263636363637,6.271329364985379,0.43382905745158684
ROI-1059,Roissy-en-Brie,48.794927,2.651333,0.388,22,0,1.1,157.4,151.01750000000047,73.17342783505177,20.02279947158598,0.47978180365961226
VIR-1060,Viry-Chatillon,48.672241,2.380189,0.535,10,3,1.0,225.9,208.75799999999995,130.71762616822429,21.59388387126556,0.29782784350121216
VIR-1061,Viry-Chatillon,48.665281,2.371657,0.709,20,6,1.667,164.4,166.91100000000023,119.827502115656,22.415400526707735,0.4862085800218363
ROI-1062,Roissy-en-Brie,48.788891,2.664645,0.422,13,1,1.1,133.9,138.66850000000028,72.94883175355464,21.185351081543672,0.4721314628135733
VIR-1063,Viry-Chatillon,48.662431,2.366874,0.392,10,0,1.0,131.4,137.3500000000003,67.27346938775526,22.765682259461748,0.45036957418032514
VIL-1064,Villepinte,48.963547,2.525991,0.334,18,3,1.74,72.5,78.89899999999997,31.65408982035927,14.2273299009787,0.7858469185038195
ROI-1065,Roissy-en-Brie,48.79742,2.67215,0.662,7,1,1.595,165.0,172.68100000000015,120.51151359516626,21.33016677544775,0.4741656485839947
VIL-1066,Villepinte,48.983724,2.539833,0.489,22,4,1.2,161.6,178.62249999999986,105.566262781186,16.605058970430367,0.4468078226270752
BOB-1067,Bobigny,48.935162,2.434687,0.369,10,1,1.15,147.2,139.5065,63.89322086720866,8.097646490327422,0.6001093512049583
VIL-1068,Villepinte,48.956314,2.558032,0.301,22,1,1.2,99.3,106.64950000000003,35.78604485049834,15.304621103890627,0.6328906940731095
VIR-1069,Viry-Chatillon,48.635218,2.375976,0.619,8,2,1.45,167.8,171.2934999999999,115.94826575121158,25.72216104069448,0.41846634544702843
MAL-1070,Malakoff,48.830266,2.292491,0.718,22,6,1.208,267.3,239.52700000000038,172.80638718662982,8.81325147697651,0.3334475191171632
ROI-1071,Roissy-en-Brie,48.792335,2.66204,0.74,7,5,1.834,194.9,190.94500000000048,139.3382432432436,20.85716519702404,0.4894757295418284
ROI-1072,Roissy-en-Brie,48.792512,2.643193,0.362,11,0,1.1,165.1,153.0974999999997,68.51324585635345,19.587649577565948,0.4946717334933762
VIR-1073,Viry-Chatillon,48.652966,2.379167,0.176,10,1,1.0,98.0,91.98349999999999,0.0,23.73747215990859,0.6140324970040009
ROI-1074,Roissy-en-Brie,48.771807,2.663719,0.872,20,0,1.595,207.5,203.48649999999995,156.81528440366966,21.96608012336512,0.3776418184587022
ROI-1075,Roissy-en-Brie,48.793666,2.635902,0.585,13,3,1.1,217.4,218.05550000000002,143.5066111111111,19.049191039038373,0.30837556404142935
ROI-1076,Roissy-en-Brie,48.794678,2.650226,0.303,10,1,1.1,104.6,103.93949999999994,35.33256930693067,19.95940027529087,0.576154160154774
BOB-1077,Bobigny,48.936829,2.465725,0.231,17,1,1.667,34.9,45.43549999999991,6.09740476190475,9.225425448932116,0.8677650207789942
VIR-1078,Viry-Chatillon,48.675146,2.39807,0.382,20,5,1.667,75.0,106.35399999999996,50.67127748691097,21.222467867633497,0.6699495670186004
VIL-1079,Villepinte,48.978514,2.540695,0.355,22,2,1.2,112.6,130.96900000000016,57.183647887324,16.19253843258681,0.5723712609494355
VIR-1080,Viry-Chatillon,48.671921,2.403957,0.522,7,4,1.45,135.5,143.46,88.49448275862069,21.58254860148885,0.5173285061540397
ROI-1081,Roissy-en-Brie,48.780277,2.651192,0.293,11,2,1.1,107.4,103.1860000000001,32.75187030716726,20.7131163574028,0.5773670070192138
BOB-1082,Bobigny,48.922599,2.410634,0.464,22,6,1.322,129.7,162.33099999999985,92.36074137931026,6.3413535792962925,0.5833207439081157
VIL-1083,Villepinte,48.972182,2.563658,0.449,9,1,1.74,137.9,131.4090000000002,72.87492427616938,16.804870673058794,0.663130617471336
MAL-1084,Malakoff,48.843743,2.305218,0.1,13,0,1.05,61.3,63.75300000000006,0.0,7.36290886650219,0.7422943318251117
BOB-1085,Bobigny,48.933957,2.410355,0.198,7,2,1.667,61.2,59.4100000000001,0.0,7.594288489049255,0.8947542947941709
BOB-1086,Bobigny,48.915419,2.42061,0.343,9,5,1.918,57.9,94.59849999999993,39.43902478134108,5.697986202087755,0.8708738307411311
VIL-1087,Villepinte,48.970485,2.537536,0.52,13,4,1.2,180.4,174.70550000000046,107.51107692307721,15.361651568844257,0.4506692041125914
MAL-1088,Malakoff,48.837952,2.288882,0.136,7,6,1.751,84.9,71.72249999999981,0.0,8.7078436227537,0.9078600620544368
BOB-1089,Bobigny,48.913374,2.438559,0.565,9,2,1.667,126.1,138.6714999999997,89.58424336283166,5.974664261119113,0.6791154522054847
MAL-1090,Malakoff,48.822597,2.276435,0.588,11,4,1.05,235.2,234.25149999999968,154.5741190476188,10.249619032973907,0.3300489274757363
BOB-1091,Bobigny,48.913482,2.430711,0.631,15,4,1.15,219.0,219.71850000000003,150.07713708399368,5.737366383197773,0.3983268311272813
VIL-1092,Villepinte,48.969283,2.534643,0.412,11,6,1.38,128.5,124.03299999999999,63.82280582524271,15.122521587854257,0.6080618965233525
BOB-1093,Bobigny,48.923711,2.42094,0.538,14,1,1.15,228.0,187.86000000000018,118.02356877323432,6.597229502483033,0.4735009737128497
BOB-1094,Bobigny,48.923376,2.423822,0.393,19,3,1.667,92.5,95.99099999999999,47.14061832061068,6.613334302011395,0.7821916270263409
BOB-1095,Bobigny,48.926534,2.410633,0.401,9,0,1.667,120.0,115.67800000000013,57.98323690773074,6.775805647928351,0.7535575648382712
ROI-1096,Roissy-en-Brie,48.797079,2.683127,0.509,20,0,1.595,129.6,138.20349999999976,83.89957072691537,22.095599228467613,0.5615626327385165
VIR-1097,Viry-Chatillon,48.678924,2.381434,0.114,12,2,1.0,32.5,47.17200000000002,0.0,20.846349463680358,0.6344738220627252
ROI-1098,Roissy-en-Brie,48.781252,2.643994,0.564,20,6,1.834,174.5,157.7395000000001,101.80350709219864,20.195756353520803,0.5893002390095069
ROI-1099,Roissy-en-Brie,48.785126,2.656057,0.599,6,4,1.1,211.8,214.1930000000002,142.6761385642739,20.790313272464797,0.29817036843331335
MAL-1100,Malakoff,48.835098,2.296031,0.466,15,0,1.05,167.3,171.72199999999975,98.0215708154505,8.347355649272604,0.48685565456619684
MAL-1101,Malakoff,48.842572,2.275995,0.267,20,4,1.522,133.1,119.35699999999979,29.95100749063665,9.439251127056208,0.769572084514752
MAL-1102,Malakoff,48.829639,2.304603,0.579,9,3,1.522,191.1,175.0144999999996,114.56044127806537,8.066869423563496,0.5647959610263011
MAL-1103,Malakoff,48.802213,2.312441,0.482,20,1,1.522,186.0,170.05349999999996,99.49188174273856,9.55925155997847,0.5924420703512417
VIL-1104,Villepinte,48.978678,2.535952,0.667,16,3,1.2,246.9,203.7644999999998,142.66569940029973,15.989056753880128,0.35711854572707635
VIR-1105,Viry-Chatillon,48.663726,2.372569,0.365,9,5,1.667,110.9,105.46750000000009,47.677089041095925,22.581523609917642,0.6679306034559304
ROI-1106,Roissy-en-Brie,48.773075,2.672943,0.643,14,4,1.1,233.8,229.4285000000002,158.06660264385707,22.496670387448745,0.24709196232741487
BOB-1107,Bobigny,48.910848,2.433692,0.218,16,5,1.322,43.3,51.39249999999997,4.243417431192655,5.5620996184110485,0.8122020129818713
VIR-1108,Viry-Chatillon,48.671614,2.391632,0.406,17,2,1.45,112.1,113.35749999999987,57.51636699507383,21.623435527593376,0.5955669166746975
MAL-1109,Malakoff,48.828044,2.287642,0.783,22,4,1.05,335.7,315.86699999999934,235.18577394635963,9.241712677315231,0.13282993406413662
MAL-1110,Malakoff,48.820784,2.267729,0.86,22,3,1.05,311.3,308.4175000000004,236.69250000000028,10.907426364201406,0.11723325972533487
MAL-1111,Malakoff,48.806604,2.292233,0.293,12,0,1.05,85.1,95.18849999999996,30.213414675767897,10.287458152762937,0.6450276389518522
ROI-1112,Roissy-en-Brie,48.791981,2.647835,0.645,22,4,1.1,238.6,241.51599999999976,166.6273178294572,19.921377996764544,0.2435993954732444
ROI-1113,Roissy-en-Brie,48.803886,2.61011,0.737,22,1,1.1,280.9,268.9915000000004,195.99516350067873,16.858133548452443,0.19081211891875738
MAL-1114,Malakoff,48.822898,2.286178,0.197,12,2,1.05,63.1,69.61250000000013,0.0,9.609726658456596,0.7264084848173099
VIR-1115,Viry-Chatillon,48.666381,2.378956,0.67,12,4,1.0,237.9,269.97999999999973,189.3889552238804,22.250141872899157,0.14445987244090971
ROI-1116,Roissy-en-Brie,48.797217,2.633064,0.596,13,5,1.265,160.4,170.40800000000047,113.22410738255064,18.695559850292646,0.4288488262207154
ROI-1117,Roissy-en-Brie,48.777779,2.660695,0.596,7,2,1.595,138.3,148.60349999999983,98.73655369127505,21.459150840227064,0.5284517812793732
ROI-1118,Roissy-en-Brie,48.787242,2.634137,0.509,21,1,1.1,169.2,181.06400000000005,109.91900982318275,19.247469476236542,0.3921160324281791
MAL-1119,Malakoff,48.825274,2.293929,0.631,10,3,1.05,242.2,246.9554999999996,168.68117353407263,8.986338733867939,0.30322033436111817
ROI-1120,Roissy-en-Brie,48.774434,2.65909,0.674,10,4,1.1,214.1,224.34449999999953,157.7734317507415,21.528665069362354,0.25467929310615933
VIR-1121,Viry-Chatillon,48.66633,2.387086,0.443,17,0,1.45,150.4,140.43800000000027,77.0348397291198,22.22245661376755,0.5418535610244232
VIL-1122,Villepinte,48.992785,2.50824,0.207,14,1,1.2,87.4,71.49750000000002,2.4177898550724573,16.164011788095873,0.7114008216741402
ROI-1123,Roissy-en-Brie,48.779555,2.646664,0.157,18,1,1.595,52.3,46.879500000000036,0.0,20.457096868320022,0.7858273827957751
VIL-1124,Villepinte,48.96931,2.511327,0.288,17,6,2.001,42.3,77.26649999999984,23.609208333333275,14.076155992427221,0.8724938381951057
ROI-1125,Roissy-en-Brie,48.806205,2.673557,0.422,12,1,1.1,177.1,142.74750000000023,75.09465639810438,21.096808627404826,0.4673179662064898
MAL-1126,Malakoff,48.815813,2.311824,0.476,7,3,1.522,127.0,136.35149999999993,79.06095378151255,8.531331119456338,0.6515009200783808
BOB-1127,Bobigny,48.90476,2.418023,0.585,9,0,1.667,177.3,167.32549999999964,110.12020085470061,4.506882521912568,0.6374359127464517
VIR-1128,Viry-Chatillon,48.675199,2.378225,0.504,10,0,1.0,177.1,206.17300000000014,124.35831746031754,21.276033439088987,0.31619559709303763
ROI-1129,Roissy-en-Brie,48.784244,2.65183,0.657,18,2,1.595,158.9,164.33800000000042,114.3112115677324,20.555087750144583,0.4953631088009552
BOB-1130,Bobigny,48.90732,2.410063,0.588,6,0,1.15,246.9,227.47450000000043,150.10222108843567,4.653114011980278,0.40592931696110346
VIL-1131,Villepinte,48.977078,2.541563,0.254,10,3,1.2,107.6,99.49399999999997,21.152267716535423,16.110225696692986,0.6642904340483222
VIR-1132,Viry-Chatillon,48.666922,2.370117,0.569,22,4,1.0,259.4,238.7214999999998,154.81236115992957,22.24454747218216,0.23214883046002444
VIL-1133,Villepinte,48.971777,2.52997,0.551,13,6,1.38,189.2,175.36050000000017,111.70877586206907,15.117226431813737,0.48671153454828037
VIL-1134,Villepinte,48.972671,2.561017,0.394,14,4,1.2,140.3,137.6529999999997,67.77838071065976,16.70662163706429,0.5418795448415906
VIL-1135,Villepinte,48.972716,2.530849,0.514,12,5,1.38,144.8,153.6605000000003,93.8704221789885,15.238763619544281,0.5310712802800319
ROI-1136,Roissy-en-Brie,48.789604,2.660223,0.619,12,2,1.1,226.0,226.38200000000003,153.2375735056543,20.857215872833912,0.2709247953710336
VIL-1137,Villepinte,48.957259,2.571211,0.633,17,3,1.74,151.9,157.41200000000006,107.67677093206956,16.10974884922726,0.5798249861769301
ROI-1138,Roissy-en-Brie,48.802558,2.636581,0.524,17,6,1.834,81.5,100.40600000000002,62.08309923664124,18.697855368243932,0.7005795973510097
BOB-1139,Bobigny,48.932302,2.442541,0.207,6,4,1.15,87.3,88.1574999999998,2.981171497584525,8.001434974359837,0.7551976623094672
ROI-1140,Roissy-en-Brie,48.790823,2.665982,0.357,8,2,1.595,122.2,110.8465000000003,48.7476204481794,21.1888742423966,0.6570814133448979
BOB-1141,Bobigny,48.945977,2.420244,0.305,17,6,1.918,62.8,69.01049999999984,23.757713114754036,9.015281356226112,0.8871704050847719
MAL-1142,Malakoff,48.811274,2.301905,0.208,8,4,1.522,39.0,48.68300000000002,1.872423076923073,9.41124916468842,0.8409474431450956
MAL-1143,Malakoff,48.826672,2.31421,0.406,21,0,1.05,144.7,141.95800000000014,72.02795073891633,7.650707937267146,0.557673342011582
MAL-1144,Malakoff,48.829843,2.28679,0.433,19,2,1.522,120.4,123.48600000000016,66.44858660508092,9.20800230709133,0.6786881257555076
MAL-1145,Malakoff,48.815236,2.29896,0.335,18,5,1.751,69.8,75.15099999999985,30.284731343283525,9.302730738083158,0.8268841740274533
VIR-1146,Viry-Chatillon,48.674686,2.387623,0.706,20,6,1.667,166.3,167.70899999999986,120.19936827195458,21.2924754233249,0.49320542655620436
VIL-1147,Villepinte,48.973436,2.544352,0.487,11,4,1.2,140.0,153.90200000000004,90.69789322381932,15.93626869092354,0.4892267654376829
VIL-1148,Villepinte,48.947543,2.536824,0.548,14,2,1.2,213.4,171.84600000000012,109.12848175182489,13.49867521597027,0.45974113234157243
BOB-1149,Bobigny,48.91094,2.444623,0.609,20,5,1.918,114.4,129.3685000000003,86.88294991789839,5.967850652472271,0.7486985417356287
VIR-1150,Viry-Chatillon,48.675511,2.380583,0.613,21,4,1.0,258.3,237.9485,160.3144053833605,21.229155147419537,0.22538071408015983
ROI-1151,Roissy-en-Brie,48.803239,2.633023,0.478,18,4,1.595,160.6,147.93199999999976,86.03576569037642,18.42802614683523,0.5820786396561661
MAL-1152,Malakoff,48.828205,2.297609,0.699,15,3,1.05,292.5,257.83399999999966,184.06175393419147,8.590550687935346,0.2670299398186633
BOB-1153,Bobigny,48.916297,2.417497,0.304,12,6,1.322,113.8,108.17849999999973,37.00843421052622,5.737198340156583,0.7279068255276886
VIR-1154,Viry-Chatillon,48.678178,2.357659,0.205,22,0,1.0,101.1,97.05349999999994,2.367158536585354,21.114096644635886,0.6265801567710145
MAL-1155,Malakoff,48.816091,2.279944,0.664,12,1,1.05,260.7,262.49999999999943,183.43373493975864,10.39197220556446,0.2558851990793608
MAL-1156,Malakoff,48.826079,2.292799,0.37,9,3,1.522,105.9,108.47550000000012,49.84009459459465,9.013383234682056,0.7221655963131483
ROI-1157,Roissy-en-Brie,48.794904,2.640943,0.325,22,1,1.1,123.2,122.11100000000025,46.965769230769325,19.32739674185432,0.5511332622746353
ROI-1158,Roissy-en-Brie,48.784135,2.678662,0.732,8,3,1.595,191.4,184.8130000000002,134.31764480874332,22.338663318665393,0.43203755939267646
VIR-1159,Viry-Chatillon,48.676783,2.37928,0.466,8,4,1.45,158.3,147.22099999999966,84.03602145922727,21.09469276340177,0.5320797381166854
BOB-1160,Bobigny,48.909788,2.440625,0.652,7,6,1.918,169.0,167.79349999999994,116.32310122699383,5.703484365930315,0.6759388536211921
ROI-1161,Roissy-en-Brie,48.771532,2.6415,0.31,11,6,1.265,115.6,111.82799999999983,39.68090322580638,20.566432778191512,0.6020482612107176
VIL-1162,Villepinte,48.957485,2.571656,0.541,20,3,1.74,130.0,133.0869999999999,83.88663031423285,16.150814109015627,0.6398410891478258
VIL-1163,Villepinte,48.973427,2.556851,0.533,20,2,1.74,140.8,139.30399999999972,87.03233020637882,16.55416497719914,0.6290151033813257
ROI-1164,Roissy-en-Brie,48.7835,2.664058,0.434,8,3,1.595,143.0,112.76249999999995,60.79821428571425,21.397081787027517,0.6250618408083124
VIL-1165,Villepinte,48.955739,2.559092,0.347,14,5,1.38,96.2,112.12799999999997,47.50091066282419,15.321494740978203,0.6480300177261061
BOB-1166,Bobigny,48.928406,2.420211,0.429,16,4,1.15,133.0,142.5135,76.07363986013985,7.094769539237837,0.5763235033706069
VIR-1167,Viry-Chatillon,48.694723,2.372562,0.496,16,4,1.0,217.9,212.1385000000006,126.59878225806486,19.150950538502208,0.32554130096211986
ROI-1168,Roissy-en-Brie,48.787367,2.643951,0.882,19,6,1.834,201.6,195.42849999999973,151.11364739229003,19.883771652896957,0.46650810905695067
MAL-1169,Malakoff,48.831834,2.280089,0.634,6,1,1.05,255.5,255.31450000000007,174.77364826498427,9.561235647385418,0.2837115721211678
VIL-1170,Villepinte,48.965289,2.566127,0.615,12,1,1.2,226.5,189.99650000000005,128.20902032520328,16.409131077240026,0.390795197746704
VIR-1171,Viry-Chatillon,48.683994,2.39387,0.776,11,0,1.0,333.1,311.55149999999924,231.254721649484,20.243128405630145,0.05252323417662136
VIR-1172,Viry-Chatillon,48.682652,2.38839,0.831,20,2,1.45,236.6,220.83699999999962,167.68730084235833,20.405111686483245,0.3249048160591117
MAL-1173,Malakoff,48.833515,2.296962,0.762,8,6,1.751,186.9,184.30900000000045,135.93393438320243,8.359964797198874,0.5657360671227972
ROI-1174,Roissy-en-Brie,48.796503,2.67351,0.876,17,4,1.595,222.3,188.78150000000002,145.680700913242,21.459842245733245,0.40944655127148033
ROI-1175,Roissy-en-Brie,48.795228,2.641394,0.541,17,1,1.595,102.5,116.74799999999998,73.58792606284656,19.34278848708882,0.6071653847470754
ROI-1176,Roissy-en-Brie,48.778722,2.658464,0.404,8,4,1.595,72.9,87.59199999999986,44.229623762376164,21.26579880489989,0.6679903537225415
BOB-1177,Bobigny,48.929329,2.443097,0.607,10,3,1.15,237.2,213.84399999999994,143.3846919275123,7.71445749220604,0.4013129637998394
MAL-1178,Malakoff,48.804382,2.320026,0.156,7,3,1.522,31.6,43.34000000000011,0.0,9.011494944895965,0.8485203258422099
ROI-1179,Roissy-en-Brie,48.781118,2.629554,0.674,8,4,1.595,175.0,171.84450000000004,120.85206676557866,19.27439270373975,0.48783746461833555
VIL-1180,Villepinte,48.974016,2.539716,0.351,21,5,1.38,93.4,103.57600000000006,44.558336182336205,15.763168869205213,0.652366449254985
VIR-1181,Viry-Chatillon,48.673238,2.375628,0.548,18,0,1.45,151.3,151.7974999999997,96.39695255474433,21.508449659798462,0.4978201696958914
VIL-1182,Villepinte,48.963143,2.554133,0.293,22,2,1.2,69.9,108.55350000000011,34.45554778157,15.605824949159645,0.634133792590058
ROI-1183,Roissy-en-Brie,48.777053,2.667412,0.17,13,3,1.1,59.4,66.20549999999987,0.0,21.934081653219828,0.6517581712444485
ROI-1184,Roissy-en-Brie,48.770813,2.640133,0.403,15,3,1.1,178.7,160.55700000000036,80.87610669975204,20.521678710971187,0.45672875285381787
MAL-1185,Malakoff,48.825878,2.291727,0.541,16,4,1.05,173.2,186.5085000000003,117.55896210720907,9.092696017246412,0.43205980924460713
VIL-1186,Villepinte,48.973819,2.556451,0.735,20,6,2.001,200.5,179.44350000000014,130.61533673469395,16.56543179371372,0.5836401880878473
MAL-1187,Malakoff,48.819284,2.289442,0.477,10,3,1.05,181.2,180.76350000000028,104.97167610062908,9.614736793267339,0.46027673097701727
